Reference, Value, Footprint, Datasheet, manf#
P1,CONN_1,ultim_bus:Screw_SqPad,,Value
P2,CONN_1,ultim_bus:Screw,,
P3,CONN_1,ultim_bus:Screw,,
P4,CONN_1,ultim_bus:Screw_SqPad,,Value
P5,CONN_1,ultim_bus:Screw_SqPad,,Value
P6,CONN_1,ultim_bus:Screw,,
P7,CONN_1,ultim_bus:Screw,,
P8,CONN_1,ultim_bus:Screw_SqPad,,Value
P9,CONN_1,ultim_bus:Screw_SqPad,,Value
P10,CONN_1,ultim_bus:Screw,,
P11,CONN_1,ultim_bus:Screw,,
P12,CONN_1,ultim_bus:Screw_SqPad,,Value
P14,CONN_1,ultim_bus:Screw,,Value
P15,CONN_1,ultim_bus:Screw_SqPad,,Value
P16,CONN_1,ultim_bus:Screw_SqPad,,Value
P17,CONN_1,ultim_bus:Screw,,Value
P18,CONN_1,ultim_bus:Screw,,Value
P19,CONN_1,ultim_bus:Screw_SqPad,,Value
P20,CONN_1,ultim_bus:Screw_SqPad,,Value
P21,CONN_1,ultim_bus:Screw,,Value
P22,CONN_1,ultim_bus:Screw,,Value
P23,CONN_1,ultim_bus:Screw_SqPad,,Value
P24,CONN_1,ultim_bus:Screw_SqPad,,Value
P25,CONN_1,ultim_bus:Screw,,Value
P27,CONN_1,ultim_bus:Screw,,Value
P28,CONN_1,ultim_bus:Screw_SqPad,,Value
P29,CONN_1,ultim_bus:Screw_SqPad,,Value
P30,CONN_1,ultim_bus:Screw,,
P31,CONN_1,ultim_bus:Screw,,
P32,CONN_1,ultim_bus:Screw_SqPad,,Value
P33,CONN_1,ultim_bus:Screw_SqPad,,Value
P34,CONN_1,ultim_bus:Screw,,
P35,CONN_1,ultim_bus:Screw,,
P36,CONN_1,ultim_bus:Screw_SqPad,,Value
P37,CONN_1,ultim_bus:Screw_SqPad,,Value
P38,CONN_1,ultim_bus:Screw,,
P40,CONN_1,ultim_bus:Screw_SqPad,,Value
P41,CONN_1,ultim_bus:Screw,,Value
P42,CONN_1,ultim_bus:Screw,,Value
P43,CONN_1,ultim_bus:Screw_SqPad,,Value
P44,CONN_1,ultim_bus:Screw_SqPad,,Value
P45,CONN_1,ultim_bus:Screw,,Value
P46,CONN_1,ultim_bus:Screw,,Value
P47,CONN_1,ultim_bus:Screw_SqPad,,Value
P48,CONN_1,ultim_bus:Screw_SqPad,,Value
P49,CONN_1,ultim_bus:Screw,,Value
P50,CONN_1,ultim_bus:Screw,,Value
P51,CONN_1,ultim_bus:Screw_SqPad,,Value
M2,MouseBite,ultim_bus:mouse-bite-5.08mm-slot,,Value
M6,MouseBite,ultim_bus:mouse-bite-2.54mm-slot,,Value
M9,MouseBite,ultim_bus:mouse-bite-5.08mm-slot,,Value
M13,MouseBite,ultim_bus:mouse-bite-2.54mm-slot,,Value
M16,MouseBite,ultim_bus:mouse-bite-5.08mm-slot,,Value
JP1,PWR_SEL,ultim_bus:switch_spdt,,
v1,via_0.8x9,ultim_bus:via_0.8x9,,
v2,via_0.8x9,ultim_bus:via_0.8x9,,
v3,via_0.8x9,ultim_bus:via_0.8x9,,
v4,via_0.8x9,ultim_bus:via_0.8x9,,
v5,via_0.8x9,ultim_bus:via_0.8x9,,
v6,via_0.8x9,ultim_bus:via_0.8x9,,
v7,via_0.8x9,ultim_bus:via_0.8x9,,
v8,via_0.8x9,ultim_bus:via_0.8x9,,
v9,via_0.8x9,ultim_bus:via_0.8x9,,
v10,via_0.8x9,ultim_bus:via_0.8x9,,
v11,via_0.8x9,ultim_bus:via_0.8x9,,
v12,via_0.8x9,ultim_bus:via_0.8x9,,
M3,MouseBite,ultim_bus:mouse-bite-5.08mm-slot,,Value
M4,MouseBite,ultim_bus:mouse-bite-5.08mm-slot,,Value
M10,MouseBite,ultim_bus:mouse-bite-5.08mm-slot,,Value
M11,MouseBite,ultim_bus:mouse-bite-5.08mm-slot,,Value
M17,MouseBite,ultim_bus:mouse-bite-5.08mm-slot,,Value
M18,MouseBite,ultim_bus:mouse-bite-5.08mm-slot,,Value
S1,SPST-M-2,ultim_bus:SW_SMD,,
H1,Feather_M0,ultim_bus:FEATHER_M0_2,,
S2,SPST-M-2,ultim_bus:SW_SMD,,
S3,SPST-M-2,ultim_bus:SW_SMD,,
S4,SPST-M-2,ultim_bus:SW_SMD,,
S5,SPST-M-2,ultim_bus:SW_SMD,,
S6,SPST-M-2,ultim_bus:SW_SMD,,
R1,10k,ultim_bus:r_0805,,
R2,10k,ultim_bus:r_0805,,
R3,10k,ultim_bus:r_0805,,
R4,10k,ultim_bus:r_0805,,
R5,10k,ultim_bus:r_0805,,
R6,10k,ultim_bus:r_0805,,
L2,OSHW,ultim_bus:OSHW_6mm,,mfr_pn
L1,OSHW,ultim_bus:OSHW_6mm,,mfr_pn
L8,LOGO_ML,ultim_bus:logo_MLlabs_small,,mfr_pn
L7,LOGO_ML,ultim_bus:logo_MLlabs_small,,mfr_pn
L3,LOGO_WL,ultim_bus:logo_wyo_butterfly_small,,mfr_pn
L4,LOGO_WL,ultim_bus:logo_wyo_butterfly_small,,mfr_pn
L12,LOGO_U88,ultim_bus:logo_ultim8x8_small,,mfr_pn
L11,LOGO_U88,ultim_bus:logo_ultim8x8_small,,mfr_pn
v13,via_0.8x9,ultim_bus:via_0.8x9,,
v14,via_0.8x9,ultim_bus:via_0.8x9,,
v15,via_0.8x9,ultim_bus:via_0.8x9,,
v16,via_0.8x9,ultim_bus:via_0.8x9,,
